Sample	Use	Well	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Checked	>ULOQ	>ULOQ	>ULOQ		>ULOQ	>ULOQ		>ULOQ	>ULOQ	>ULOQ	>ULOQ			>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ		>ULOQ		>ULOQ			>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ
Standard1	Standard	B2		Checked	>ULOQ	>ULOQ	>ULOQ			>ULOQ		>ULOQ	>ULOQ	>ULOQ				>ULOQ	>ULOQ		>ULOQ	>ULOQ	>ULOQ	>ULOQ	>ULOQ		>ULOQ				>ULOQ		>ULOQ	>ULOQ		>ULOQ		>ULOQ		>ULOQ		>ULOQ		>ULOQ			>ULOQ	>ULOQ	>ULOQ		>ULOQ		>ULOQ	>ULOQ
Standard2	Standard	C1		Checked		>ULOQ	>ULOQ																				>ULOQ															>ULOQ		>ULOQ				>ULOQ	>ULOQ					
Standard2	Standard	C2		Checked		>ULOQ																																						>ULOQ				>ULOQ						
Standard3	Standard	D1		Checked		>ULOQ																																						>ULOQ										
Standard3	Standard	D2		Checked		>ULOQ																																						>ULOQ										
Standard4	Standard	E1		Checked		>ULOQ																																						>ULOQ										
Standard4	Standard	E2		Checked																																								>ULOQ										
Standard5	Standard	F1		Checked																																								>ULOQ										
Standard5	Standard	F2		Checked																																																		
Standard6	Standard	G1		Checked																																													<LLOQ					
Standard6	Standard	G2		Checked		<LLOQ																																											<LLOQ			<LLOQ		
